# Wall shear stress
# Time        	patch         	min           	max           
1.000000e-02	fixedWalls	(-3.846850e-02 -1.163868e-02 0.000000e+00)	(4.336837e-02 3.684307e-03 0.000000e+00)
1.000000e-02	bottomWall	(-3.535165e-02 -1.026840e-02 0.000000e+00)	(1.278580e-03 2.165549e-03 0.000000e+00)
2.000000e-02	fixedWalls	(-1.435217e-02 -6.998697e-03 0.000000e+00)	(2.571948e-02 1.213720e-03 0.000000e+00)
2.000000e-02	bottomWall	(-3.535142e-02 -5.801358e-03 0.000000e+00)	(6.791750e-04 2.589616e-03 0.000000e+00)
3.000000e-02	fixedWalls	(-1.633963e-02 -4.369969e-03 0.000000e+00)	(9.238254e-03 2.774138e-04 0.000000e+00)
3.000000e-02	bottomWall	(-3.535122e-02 -2.165637e-03 0.000000e+00)	(1.998738e-03 9.762958e-03 0.000000e+00)
4.000000e-02	fixedWalls	(-1.128585e-02 -6.226718e-03 0.000000e+00)	(1.805563e-02 7.490975e-04 0.000000e+00)
4.000000e-02	bottomWall	(-3.535125e-02 -5.666939e-03 0.000000e+00)	(1.951827e-03 7.014544e-03 0.000000e+00)
5.000000e-02	fixedWalls	(-2.031026e-02 -2.291347e-03 0.000000e+00)	(7.191357e-03 2.268101e-04 0.000000e+00)
5.000000e-02	bottomWall	(-3.535121e-02 -2.165640e-03 0.000000e+00)	(2.178571e-03 9.588955e-03 0.000000e+00)
6.000000e-02	fixedWalls	(-1.488380e-02 -4.095140e-04 0.000000e+00)	(1.290309e-03 9.913307e-05 0.000000e+00)
6.000000e-02	bottomWall	(-3.535160e-02 -2.165560e-03 0.000000e+00)	(3.730769e-03 7.255258e-03 0.000000e+00)
7.000000e-02	fixedWalls	(-1.831003e-02 -7.150062e-03 0.000000e+00)	(2.936662e-02 2.173634e-03 0.000000e+00)
7.000000e-02	bottomWall	(-3.535129e-02 -5.898906e-03 0.000000e+00)	(2.764063e-03 6.329860e-03 0.000000e+00)
8.000000e-02	fixedWalls	(-1.173506e-02 -8.122486e-03 0.000000e+00)	(1.412378e-02 6.149889e-04 0.000000e+00)
8.000000e-02	bottomWall	(-3.535125e-02 -6.952707e-03 0.000000e+00)	(3.185442e-03 7.785228e-03 0.000000e+00)
9.000000e-02	fixedWalls	(-1.988251e-02 -3.671155e-03 0.000000e+00)	(8.750367e-03 4.758507e-04 0.000000e+00)
9.000000e-02	bottomWall	(-3.535125e-02 -2.165618e-03 0.000000e+00)	(2.087996e-03 8.753549e-03 0.000000e+00)
1.000000e-01	fixedWalls	(-2.223866e-02 -6.152192e-03 0.000000e+00)	(1.407158e-02 7.002603e-04 0.000000e+00)
1.000000e-01	bottomWall	(-3.535122e-02 -2.956167e-03 0.000000e+00)	(1.562235e-03 4.862192e-03 0.000000e+00)
1.100000e-01	fixedWalls	(-1.489551e-02 -4.298713e-03 0.000000e+00)	(2.099714e-02 9.030434e-04 0.000000e+00)
1.100000e-01	bottomWall	(-3.535126e-02 -2.165660e-03 0.000000e+00)	(2.346868e-03 5.147068e-03 0.000000e+00)
1.200000e-01	fixedWalls	(-1.391898e-02 -5.702599e-03 0.000000e+00)	(4.694297e-03 7.578834e-04 0.000000e+00)
1.200000e-01	bottomWall	(-3.535122e-02 -4.334598e-03 0.000000e+00)	(1.453370e-03 9.003403e-03 0.000000e+00)
1.300000e-01	fixedWalls	(-2.296859e-02 -8.485760e-03 0.000000e+00)	(5.033749e-03 4.986681e-04 0.000000e+00)
1.300000e-01	bottomWall	(-3.535134e-02 -3.636877e-03 0.000000e+00)	(1.406277e-03 6.269621e-03 0.000000e+00)
1.400000e-01	fixedWalls	(-1.496367e-02 -8.071450e-03 0.000000e+00)	(2.878717e-02 1.178882e-03 0.000000e+00)
1.400000e-01	bottomWall	(-3.535132e-02 -5.878964e-03 0.000000e+00)	(3.973001e-03 6.058611e-03 0.000000e+00)
1.500000e-01	fixedWalls	(-1.054563e-02 -2.228779e-03 0.000000e+00)	(7.051761e-03 2.685165e-04 0.000000e+00)
1.500000e-01	bottomWall	(-3.535132e-02 -2.209012e-03 0.000000e+00)	(2.985869e-03 7.532743e-03 0.000000e+00)
1.600000e-01	fixedWalls	(-2.277071e-02 -8.335375e-03 0.000000e+00)	(1.646018e-02 6.319592e-04 0.000000e+00)
1.600000e-01	bottomWall	(-3.535132e-02 -3.587226e-03 0.000000e+00)	(2.238706e-03 7.608049e-03 0.000000e+00)
1.700000e-01	fixedWalls	(-1.356862e-02 -8.196209e-03 0.000000e+00)	(1.380579e-02 7.622901e-04 0.000000e+00)
1.700000e-01	bottomWall	(-3.535131e-02 -6.332376e-03 0.000000e+00)	(1.710721e-03 3.721236e-03 0.000000e+00)
1.800000e-01	fixedWalls	(-2.464313e-02 -8.375627e-03 0.000000e+00)	(1.130837e-02 6.287842e-04 0.000000e+00)
1.800000e-01	bottomWall	(-3.535124e-02 -3.640104e-03 0.000000e+00)	(2.907371e-03 1.028509e-02 0.000000e+00)
1.900000e-01	fixedWalls	(-9.512953e-03 -4.296289e-03 0.000000e+00)	(3.582259e-03 4.014646e-04 0.000000e+00)
1.900000e-01	bottomWall	(-3.535123e-02 -3.824022e-03 0.000000e+00)	(1.334788e-03 3.217520e-03 0.000000e+00)
2.000000e-01	fixedWalls	(-9.327827e-03 -1.070639e-03 0.000000e+00)	(8.301537e-03 5.572384e-04 0.000000e+00)
2.000000e-01	bottomWall	(-3.535123e-02 -2.165652e-03 0.000000e+00)	(2.970574e-03 7.106226e-03 0.000000e+00)
2.100000e-01	fixedWalls	(-1.209473e-02 -5.642029e-03 0.000000e+00)	(7.378788e-03 3.207430e-04 0.000000e+00)
2.100000e-01	bottomWall	(-3.535130e-02 -4.438361e-03 0.000000e+00)	(2.492159e-03 8.806329e-03 0.000000e+00)
2.200000e-01	fixedWalls	(-1.822183e-02 -8.571542e-03 0.000000e+00)	(1.927211e-02 1.042269e-03 0.000000e+00)
2.200000e-01	bottomWall	(-3.535122e-02 -5.187030e-03 0.000000e+00)	(1.805213e-03 9.341657e-03 0.000000e+00)
2.300000e-01	fixedWalls	(-1.517461e-02 -8.456123e-03 0.000000e+00)	(1.314310e-02 9.053842e-04 0.000000e+00)
